,support,support_file,opposition,opposition_file,outcome,folder_id,case_path,data_type
0,"['ClRB Hanson Industries, LLC et al v. Google Inc. Doc. 234: AdWords Program, ""Daily Budgets,"" the ""120% Rule,"" and Pausing. Plaintiffs, ON PLAINTIFFS\' "" 120% RULE"" AND ""PARTIAL MONTH"" CLAIMS; AND MEMORANDUM OF POINTS. v. GOOGLE, INC., Date: November 10, 2008Time: 9:00 a.m. (Californian) Judge: Honorable James Ware. Courtroom: Courtroom 8 (California) Defendant: Google, Inc. Plaintiff: Google,. Inc. (U.S.) Plaintiffs have no standing to seek compensation for injury under the 120% Rule. Google. Inc. has a standing motion to dismiss the case.']",['gov.uscourts.cand.34465.234.0.txt'],"[""ClRB Hanson Industries, LLC et al v. Google Inc. Case No.: C-05-03649 JW Reported for Case Management Conference: N/A Interpreter: N-A. Judge: James Ware Courtroom Deputy: Elizabeth GarciaDate: December 1, 2008 Court Reporter: Irene Rodriguez (motion hearing), Not Notable. Court conducted a case management conference off record, in chambers. Defendant to file anticipated Motion for Summary Judgment on January 16, 2009. Plaintiff to file any opposition by February 27, 2009 or March 6, 2009 at 9:00am. Hearing on Defendant's Anticipated Motion for Partial Summary Judgment set for March 20, 2009 for 9:30am. The Court to issue further order following case Management Conference. Court took this matter under submission after oral argument.""]",['gov.uscourts.cand.34465.288.0.txt'],deny,456,/mnt/a536sing/sdr1/gvc-recap/5/gov.uscourts.cand.34465/,train
1,"[""The Republic of Argentina is accused of violating the Pari Passu Clause and the Amended February 23, 2014 Orders. The U.S. District Court for the Southern District of New York granted the bank's request for clarification. The court ruled in favor of the bank and issued the following order: The bank’s request for clarity should be granted, and the pari passu clause should be lifted. The decision was appealed to the Supreme Court of the United States, which will rule on the matter on October 17. The ruling was published on October 8, 2014, and is available on the court's website at: http://www.cnn.com/2014/09/11/cnn-bond-coupon.html#storylink=cpy. The bond is valued at $1.2 billion."", 'Citibank, N.A.’s motion of clarification or modification for clarification was granted by the Court on June 27. NML Capital, Ltd., Aurelius Capital Master, Ltd. and Blue Angel Capital I LLC, Olifant Fund II, LLC, and Pablo Alberto Varela, et al. will move to Rule 6.3 of the Local Rules of. the United States District Courts for the Southern and the Easterns District. of New York. Case 1:08-cv-06978-TPG Document 585 Filed 07/11/14 Page 1 of 4. UNC: U.S. District Court: Southern and Eastern District Judge, P. P. Griesa, United States Court of Appeals, New York, at 10007 New York Ave, NY, 10007.']","['gov.uscourts.nysd.330523.586.0.txt', 'gov.uscourts.nysd.330523.585.0.txt']","['Citibank N.A.’s Argentine branch on Peso- and U.S. Dollardenominated bonds—governed by Argentine law and payable in Argentina—were issued in 2005. Citibank had first sought clarification of the orders issued in June 2012. The bonds were issued by the Republic of Argentina, the custodian of the bonds. The bondholders argued that the Argentine Law should not apply to the bonds, regardless of their currency, because they were issued in the United States. The United States District Court for the Southern District of New York ruled in favor of the bondholders. The case is still before the U.N. Court of Appeals for the District of Columbia and is expected to be decided in the next few weeks.']",['gov.uscourts.nysd.330523.591.0.txt'],deny,895,/mnt/a536sing/sdr1/gvc-recap/3/gov.uscourts.nysd.330523/,train
2,"['International Paper Co. filed a motion for permission to send a letter to class members informing them of the status of the parties’ dispute as to whether vacation pay isrecoverable in this lawsuit. The parties were unable to reach agreement and the parties presented the dispute to the Court in a phone conference on October 28, 2003. The Court granted Defendant’s request to conduct discovery and the dispute is in the process of being presented to and decided by the Court. The proposed communication is attached hereto as Exhibit A. A proposed entry is attached as Exhibit B and has been sent to the court via electronic mail in Word format. An earlier version of this article referred to International Paper as “International Paper.” We are happy to clarify that this is not the case.']",['gov.uscourts.ohsd.2137.56.0.txt'],"['International Paper Company, by counsel, responds to Plaintiffs\' Motion for Class Notice. International Paper objects to the content of Plaintiff\'s proposed class notice. Plaintiff\'s proposed notice, Exhibit A, refers to payment ""for unused vacation that you may have banked and earned as of February 9, 2001 ."" The concept of ""banked vacation"" is not applicable to Plaintiff. The question is whether Plaintiffs have ""earned but unused"" vacation, for which they were not paid. If the Plaintiff\'s changes to class notice are acceptable to the Defendant\'s counsel, there is no need for the court to rule on the Plaintiffs motion. The Defendant\'s position is that you are not entitled to vacation pay in this lawsuit. This does not fairlystate International Paper\'s position . International Paper believes that the position of both parties should be explained to the class members.']",['gov.uscourts.ohsd.2137.57.0.txt'],grant,879,/mnt/a536sing/sdt1/gvc-recap/7/gov.uscourts.ohsd.2137/,test
3,"['The First Claim for Relief fails to state a valid claim, and Plaintiffs lack standing to bring their claims. Further, the provisions they seek to challenge do not violate the Second Amendment. This case should be dismissed. The grounds for this motion are set forth fully in the Memorandum of Points and Authorities in Support of Motion to Dismiss the Second Amended Complaint. See Local Civil Rule 7(m) for details on how this is a potentially dispositive motion. The Second Amendment Foundation (“SAF”) alleges that the challenged provisions negatively impacts its resources and the rights of its members under the Second amendment. Plaintiffs, a U.S. citizen who appears to reside in Georgia (Mr. Schrader) and an organization that claims to advocate against gun control (Second Amendment Foundation) seek a declaratory judgment pursuant to 28 U.s.C. § 2201 that two federal firearms provisions are unconstitutional.']",['gov.uscourts.dcd.144464.20.0.txt'],"['The Plaintiffs, Jefferson Schrader and the Second Amendment Foundation, submit their Memorandum of Points and Authorities in Opposition to Defendants’ Motion to Dismiss the Second Amended Complaint and in Support of Plaintiffs’ Renewed Cross-Motion for Summary Judgment on both asserted claims for relief. The defendants have standing to appeal the ruling. The case is No. 10-CV-1736-RMC, and the ruling is on appeal to the United States District Court for the District of Columbia. The judge will rule on whether or not the motion for summary judgment should be granted. The ruling is expected to be delivered on August 23, 2012. The decision will be appealed to the U.S. Court of Appeals for the D.C. Circuit, which will hear the case on August 26.']",['gov.uscourts.dcd.144464.21.0.txt'],grant,384,/mnt/a536sing/sdm1/gvc-recap/4/gov.uscourts.dcd.144464/,train
4,"['Oswald Suoja died of mesothelioma, a type of cancer, in 1996. His wife, Delores, sued Owens-Illinois, claiming she was exposed to asbestos and died from it. The action is moot because the Estate and Delores Suojo, as the surviving spouse, have already recovered. The issue of exposure to Owens-illinois Kaylo insulation products was actually contested in the first action and decided by a valid final judgment. This action should be dismissed as moot when, according to the Constitution, only the deceased’s “personal representative or person to whom the amount recovered. belongs” (Wis. Stat. 895.04.04(1) (Wisconsin Stat. 2d 2d 11).']",['gov.uscourts.wiwd.2665.90.0.txt'],"['Owens-Illinois, Inc. was not named in pleadings as a defendant in the Dane County action. The reason was theexistence of a written agreement between OI and clients of Cascino Vaughan Law Offices to attempt settlement before filing lawsuits. Negotiations about the Suoja claim with OI were attempted in the 1997-99 period, but unsuccessful as set forth below. The claim against Sprinkmann was resolved by a negotiated dollar settlement, and resolution of product exposure claims involving the Sprinkman’s became unnecessary and did not occur. Based on the settlement, the claim against Owens Corning Fiberglas was dismissed “on the merits” (See Doc # 92, OI exonon 21, 22, 23)', 'Owens-Illinois, Inc. submits the following response to Plaintiff’s.Corrected Numbered Statement of Additional Proposed Facts (ECF No. 107) pursuant to the Court’. procedure on motions for summary judgment. The reason OI was not a named defendant. was the existence of a written. agreement between OI and clients of Cascino Vaughan Law Offices to attempt.settlement before filing lawsuits. OI counsel would be notified by the client about the. existence of the claim and settlement would be attempted before a client initiated a lawsuit against OI. Owens-Ill Illinois’ Response: Robert McCoy claims that he lacks personal knowledge about Suoja I. Robert McCoy Decl. ¶ 4, ECFNo. 102. Therefore, his testimony is inadmissible hearsay.', 'Owens-Illinois, Inc. was not named in pleadings as a defendant in the Dane County action. The reason OI was not a named defendant was theexistence of a written agreement between OI and clients of Cascino Vaughan Law Offices to attempt settlement before filing lawsuits. The claim against Sprinkmann Sons Corporation was resolved by a negotiated dollar settlement, and resolution of product exposure issues did not occur. No resolution of the exposure issues was needed for the settlement or for the Owens Corning products or was needed to settle the case. The case was dismissed “on the merits” on the claims against Owens. Corning Fiberglas was also resolved after filing the lawsuit by a settlement, but the merits of that claim were not resolved. The lawsuit was brought by Delores Suoja, the wife of the late Oscar SuoJA.']","['gov.uscourts.wiwd.2665.101.0.txt', 'gov.uscourts.wiwd.2665.110.0.txt', 'gov.uscourts.wiwd.2665.106.0.txt']",deny,1106,/mnt/a536sing/sdah1/gvc-recap/5/gov.uscourts.wiwd.2665/,test
5,"['Defendants Sheldon Adelson, Lawrence Ellison, John Hagee, Irving Moskowitz, Haim Saban, American Friends of Ariel, American. Friends of Bet El Yeshiva, Christian Friends of Israeli Communities, Efrat Development. Foundation, Falic Family Foundation, Inc., Friends of the Israel Defense Forces, Gush Etzion. National Legal Defense Organization, The Hebron Fund, Bank Leumi B.M., Bank Hapoalim B. M., Re/MAX, LLC, Access.Industries, Inc, Veolia Environnement S.A., Veolia North America, LLC. Hewlett Packard (Israel) Ltd., Motorola Solutions, Inc.*, Motorola Solutions. Ltd., and Jewish National Fund (Keren Kayemeth Le Israel) Inc.* (collectively “Defendants’) move to dismiss Plaintiffs’ Amended Complaint.']",['gov.uscourts.dcd.177524.107.0.txt'],"['The motion should be denied for a number of reasons. The D.C. Circuit has recently in affirmed in.Simon v. Republic of Hungary that alien Plaintiffs can rely on the.Alien Tort Statute to pursue claims based on the illegalconfiscation of private property located abroad. As alleged in the complaint, 49,000 Palestinian homes have been destroyed or confiscated by belligerent settlers and rogue Israeli army personnel. They receive $2 billion every year from U.S. based pro-occupation tax-exempt entities like DefendantsFriends of Ariel [Defendant Adelson’s favorite settlement], and Friends of the Israeli Army. The Plaintiffs have alleged herein that belligerent.settlers and rogue army personnel have stolen tens of thousands of acres or private Palestinian.property.']",['gov.uscourts.dcd.177524.111.0.txt'],grant,52,/mnt/a536sing/sdaa1/gvc-recap/4/gov.uscourts.dcd.177524/,train
6,"['FIA Card Services, N.A. (“FIA”),1 and Bank of America (collectively “Defendants’) hereby move to strike paragraphs 4-6 of the affidavit of Linda Chiang a/k/a Pei PeiMen Chiang (the “Affidavit”) which was filed by plaintiff Wen Y. Chiang. ""Hearsay"" is a statement, other than one made by the declarant while testifying at the. trial or hearing, offered in evidence to prove the truth of the matter asserted. Under that rule, inadmissible hearsay cannot be considered on a motion for summary judgment. In these paragraphs, the affiant describes conversations that she allegedly had with a Mr. Xu Long Huy prior to his alleged death in 2009, on which Plaintiff bases his claim for damages in this action.']",['gov.uscourts.mad.118796.69.0.txt'],"['Wen Y. Chiang is suing Bank of America, MBNA, and the U.S. District Court for the District of Massachusetts for damages. He claims he was defrauded by Chinese businessman Xu Long Huy, who died in Shanghai, China in 2009. The defendants say the statements are admissible under exceptions to the hearsay rule in Massachusetts state courts. The judge ruled that the statements were admissible as evidence because they were made in good faith and based on the personal knowledge of the declarant. The court ruled that they were not inadmissible as hearsay because the defendant did not believe the statements to be true. The case is being heard by a jury in Boston, Massachusetts, and is expected to last two weeks.']",['gov.uscourts.mad.118796.72.0.txt'],grant,976,/mnt/a536sing/sdg1/gvc-recap/6/gov.uscourts.mad.118796/,test
7,"['Joyce Ma filed suit against William Shawn and ShawnCoulson, LLP on May 7, 2012. Ma was a deponent in an earlier, related case involving Powertrain’s suit against American Honda. The three-year statute of limitations for attorney malpractice claims had long since run before suit was filed. Ma says Shawn breached duties to her in that earlier action by failing to document a purported do-no-harm agreement. She also says Shawn failed to preserve documents (what documents she does not hint at) involving her representation at the May 2, 2005 American Honda case deposition. Even if Ma certainly knew or should have known of her claims, she retained her own lawyer in the Honda case before she filed this action. The case is at 1:11-cv-00105-GHD-DAS and is being heard by the U.S. District Court for the Northern District.']",['gov.uscourts.msnd.31896.145.0.txt'],"['Third Party Plaintiff, Joyce Ma (""Ma""), and files its opposition to Third Party Defendants\' Motion to Dismiss. Ma has attached her Points and Authorities in support of this Opposition. Ma respectfully requests the Court to deny the Third Party Defense\'s Motion to dismiss. Ma also requests leave to amend the Third Parties\' Complaint. Ma is represented by Jeffery Navarro of Navarro & Navarro, P.C., P.A. Case: 1:11-cv-00105-GHD-DAS Doc #: 147 Filed: 02/20/14 1 of 3 PagelD #: 827 grotesquely-arbitrary-arrested. Ma: ""I hereby certify that on this 20% day of February Septmber, 2014, I electronically electronicallyfiled the foregoing""', ""Lawyer for a Mississippi company seeks to dismiss a motion to dismiss. The case involves a lawsuit brought by the plaintiff against the defendant's attorneys. The suit was filed in the U.S. District Court for the Northern District of Mississippi. The judge ruled that the motion to dismissal should be dismissed because of the statute of limitations. The attorney for the defendant says the motion was denied because the client's attorneys acted negligently, even though they had reason to know they were breaking the law. The lawyer says the client is entitled to a fair trial and the case should be thrown out on the grounds that the plaintiff was not entitled to an attorney's fees and expenses. The motion was rejected on the basis that the client was entitled to the right to a lawyer’s fees and costs.""]","['gov.uscourts.msnd.31896.147.0.txt', 'gov.uscourts.msnd.31896.148.0.txt']",grant,221,/mnt/a536sing/sdag1/gvc-recap/6/gov.uscourts.msnd.31896/,test
8,"['The United States has filed a motion to consolidate two cases. Baha v. United States, No. 14-494C (Baha,) involves common questions of law and fact. In Baha I, plaintiffs allege that the Army breached leases of the Jill Fab House in Kabul, Afghanistan from Bahawoddin, between 2003 to 2009, and20l2 to 2014. The defendants allege that Baha is the sole heir, and thus entitled to all the rent for the same time-period. The U.S. is asking the court to stay proceedings pending resoiution of the Baha case in the Calilbmia Superior Court. The case has been scheduled for trial in April 2016, and a settlement could be reached as soon as next year.']",['gov.uscourts.cofc.31905.6.0.txt'],"[""Plaintiffs MohammadKhalid Baha, Qudsia Badghisy, Mohammed Hamid Baha,. Fariha Samadzada, Fahima Ahrary, Mohammed Tariq Baha and Kobra Baha Kakar are legal heirs of Ghulam Bahaouddin, and as such, haye an interest in the subject property. Plaintiffs oppose Defendant's motion to stay the federal court proceedings on the following grounds: Defendant has indicated that this matter can be settled for the amount of the past due rent, ($504,000.00). Plaintiffs are willing to entertain that amount for settlement. Although the Court has the discretion to stay proceedings in this matter, Colorado.River Water Conservation Dist. v. United States, 424 U.S. 800, 818, a Supreme Court case, states that abstention be invoked only under exceptional circumstances.""]",['gov.uscourts.cofc.31905.8.0.txt'],grant,922,/mnt/a536sing/sds1/gvc-recap/5/gov.uscourts.cofc.31905/,train
9,"['Plaintiffs and three county clerks named in plaintiffs’ Complaint are: VIRGINIA WOLF, CAROL SCHUMACHER, KAMI YOUNG, GARTH WANGEMANN, JUDITH TRAMPF and MARIE CARLSON. State Defendants are Scott Walker, JB. Van Hollen, Gary King, Richard Oskar Anderson, John Chisholm and Scott MCDONELL. The case was filed in U.S. District Court for the Western District of Wisconsin on 03/14/14. The state of Wisconsin is asking the court to stay the case until the Wisconsin Supreme Court has issued a decision in the pending case of Appling v. Walker, Case No. 2011AP1572. The issue in Appling is whether the legal status of domestic partnerships created by Wis. Stat. ch. 770 is substantially similar to marriage.']",['gov.uscourts.wiwd.34772.58.0.txt'],"[""The state of Wisconsin filed a motion to have a ban on same sex marriage in the state constitution struck down. The state argued that only three county clerks are named as defendants, but every county clerk is required to issue marriage licenses to same sex couples. If the marriage ban is declared unconstitutional, all county clerks would be required toissue marriage licenses if they otherwise meet the requirements set forth in WIS STAT §765.12(1)(a). Section 765.08 sets a five day waiting period for issuance of a marriage license, and specifies data and documentation that must be presented to the county clerk. Section 756.11 sets forth the grounds for a legal objection to a marriage, none of which pertains to gender of the person seeking to.marry. The State's argument for Burford abstention is not well founded."", 'Same-sex couples are challenging Wisconsin’s ban against marriage for samesex couples, not its domestic partnership laws. The “State Defendants” in Appling declined to even participate in the case. The State Defendants (including Governor. Walker) assert that in light of purported “important state-law issues” to be decided in. Appling and the need for “authoritative guidance” from the Wisconsin Supreme Court, this. Court should abstain from deciding the federal constitutional issues squarely presented to. it. The. State Defendants’ motion is baseless, and comes nowhere close to demonstrating that the Court should. “depart from its “virtually unflagging obligation’ to exercise its jurisdiction here,” the judge writes.']","['gov.uscourts.wiwd.34772.62.0.txt', 'gov.uscourts.wiwd.34772.60.0.txt']",deny,880,/mnt/a536sing/sdaf1/gvc-recap/2/gov.uscourts.wiwd.34772/,test
