,prompt,completion,brief_type,data_type,file_path,file_name
0,"ClRB Hanson Industries, LLC et al v. Google Inc. is a matter of law. The AdWords Program, ""Daily Budgets,"" the ""120% Rule,"" and Pausing............ 4. Plaintiffs' Advertising Campaigns. The Plaintiffs Have No Standing to Seek Restitution for Injury's Under the 120% RULE. The Defendants Have No standing to seek Restitution. The Judge: Honorable James Ware. The case is being heard in the U.S. District Court for the Northern District of California in San Francisco. The jury will hear the case on November 10, 2008, at 9:00 a.m. PT. The trial is expected to last six weeks. The verdict is expected by the end of the month.
 Judgment -->", deny,support,train,456,gov.uscourts.cand.34465.234.0.txt
1,"ClRB Hanson Industries, LLC et al v. Google Inc. Case No.: C-05-03649 JW Reported for Case Management Conference: N/A. Case management conference held in chambers. Defendant's Motion for Partial Summary Judgment on Plaintiffs' ""120%"" Rule [Doc. 234] held. Hearing on Defendant's Anticipated Motion for Summary Judgment set for March 20, 2009 at 9:00 AM. Court to issue further order following case management conference. Court set the following briefing schedule: Defendant to file anticipated motion on January 16, 2009; Plaintiff to file opposition on February 27, 2009. The Court took this matter under submission after oral argument after hearing on motion. Court held a case Management Conference off record, in chambers, on December 1, 2008.
 Judgment -->", deny,opposition,train,456,gov.uscourts.cand.34465.288.0.txt
2,"The Dollar-Denominated Bonds Have Not Been Treated from Other Exchange. The Republic of Argentina does not owe any money to the United States. The U.S. District Court for the Southern District of New York has granted Citibank a waiver of the pari passu clause of the Pari Passu Clause. The bondholders claim that the Republic’s Payment of those Bonds Violated the Par i Passu clause and the Amended February 23, 2013 Paripassu Clause of the Bankruptcy Code. The Pari-Passu Clause states that the bondholders are not ‘ indebted’ to the Republic of America. The pari-passu clause also states that they are “not indebted” to any other country. The court has granted the waiver.
 Judgment -->", deny,support,train,895,gov.uscourts.nysd.330523.586.0.txt
3,"Citibank, N.A. granted a motion of reconsideration of the order issued by the Court on June 27, 2014, granted the motion of clarification or modification. The U.S. District Court for the Southern and the Eastern District of New York issued the order limiting the peso-denominated bonds to the Argentine peso, not to the Argentinian peso. NML Capital, Ltd., Aurelius Capital Master, Ltd. and Blue Angel Capital I LLC, Olifant Fund Ltd., and Pablo Alberto Varela, et al. will move to Rule 6.3 of the Local Rules of the United States District Courts for the Eastern and the Southern District. The motion will be heard before the United. States District Judge, Thomas P. Griesa, P.C., at the United Nations Courthouse, 500 Pearl Street, New York, NY, at a date to be determined.
 Judgment -->", deny,support,train,895,gov.uscourts.nysd.330523.585.0.txt
4,"Citibank N.A.’s Argentine branch on Peso- and U.S. Dollardenominated bonds—governed by Argentine law and payable in Argentina—were issued in 2005. The bonds were sold by the Republic of Argentina. Citibank had first argued that the Orders did not apply to the Argentine Bonds, and then submitted a memorandum of law outlining the substantial legal bases for its position. On June 27, 2014, this Court granted Citibanks’ renewed motion for clarification of thisCourt’S Amended February 23, 2012 Orders (the “Orders’), ruling that: “The Court’” does not as a matter of law “prohibit payments” by Citibanka.
 Judgment -->", deny,opposition,train,895,gov.uscourts.nysd.330523.591.0.txt
5,"The parties are in dispute as to whether vacation pay isrecoverable in this lawsuit. The Motion asks the Court to approve and authorize a letter from Class Counsel to the class members informing them of the status of the parties’ dispute. The proposed communication is attached hereto as Exhibit A. The parties presented the dispute to the Court in a phone conference on October 28, 2003. The dispute is in the process of being presented to and decided on by the Court. The Court granted Defendant’s request to conduct discovery and the dispute is now being decided on. The decision will be made on October 30, 2003 at 10 a.m. (EST) in the U.S. District Court for the Eastern District of Ohio, Case No. C-1-01-109 (Docket No. 1:01-cv-00109-SSB).
 Judgment -->", grant,support,test,879,gov.uscourts.ohsd.2137.56.0.txt
6,"International Paper Company, by counsel, responds to Plaintiffs' Motion for Class Notice. The question is whether Plaintiffs have ""earned but unused"" vacation, for which they were not paid. International Paper's position is that ""you are not entitled to vacation pay in this lawsuit"" International Paper agrees with Plaintiffs that class members are entitled to be informed of the issues in the litigation, but International Paper believes that the position of both parties should be explained to the class members, and not simply explained by Plaintiff's counsel. The case is C-1-01 109/3/2003, Case No. 1:01-cv-00109-SSB, and the defendant is the U.S. District Court for the Southern District of Ohio.
 Judgment -->", grant,opposition,test,879,gov.uscourts.ohsd.2137.57.0.txt
7,"The First Claim for Relief fails to state a valid claim, and Plaintiffs lack standing to bring their claims. The provisions they seek to challenge do not violate the Second Amendment. The grounds for this motion are set forth fully in the Memorandum of Points and Authorities in Support of Motion to Dismiss the Second Amended Complaint.Undersigned counsel did not consult with counsel for Plaintiffs because this is a potentially dispositive motion. The Second Amendment Foundation (“SAF”) alleges that the government’s enforcement of the provisions it challenged negatively impacts its resources and the rights of its members. The D.C. Circuit found that the alleged injury prong of Plaintiffs’ challenge to a completely different statute is materially different from that in Dearth v. Holder.
 Judgment -->", grant,support,train,384,gov.uscourts.dcd.144464.20.0.txt
8,"The Plaintiffs, Jefferson Schrader and the Second Amendment Foundation, submit their Memorandum of Points and Authorities in Opposition to Defendants’ Motion to Dismiss the Second Amended Complaint and in Support of Plaintiffs’ Renewed Cross-Motion for Summary Judgment on both asserted claims for relief. The court will rule on the motion to dismiss in the course of its deliberations. The parties will also decide whether or not to seek summary judgment. The case is known as Schrader v. Holder, 10-CV-1736-RMC (D.C. Bar No. 453449) (Criminal) No. 1:10-cv-01736- RMC Document 21:10/11/11 (Crim) 2:2/2/12 (Petitioner) 3:3/3/14 (Defendant) 4:4/4/15 (Plaintiff) 5:5/5-6-7-8-
 Judgment -->", grant,opposition,train,384,gov.uscourts.dcd.144464.21.0.txt
9,"Oswald Suoja died of mesothelioma in 1996. His wife, Delores, claimed he was exposed to asbestos and died from cancer. In 1999, the Wisconsin circuit courts dismissed that action on the merits, and then entered an order closing the Estate. This second action, now pursued by one of Oswald SuoJA’s sons, Gary, fails for three reasons. First, the action is moot because the Estate and Delores Suojo, as the surviving spouse, have already recovered. Second, the issue of exposure to Owens-Illinois Kaylo insulation products was actuallyested in the first action and decided by a valid final judgment. For these reasons, a summary judgment is appropriate. The action should be dismissed as moot when, according to Wis. Stat. 895.04(1) (Wisablishes a hierarchy of people who may recover)
 Judgment -->", deny,support,test,1106,gov.uscourts.wiwd.2665.90.0.txt
